Time                        Bx(nT)         By(nT)         Bz(nT)
          0.0000000         -0.0987        -0.2404         7.3807
          3.0079474         -0.6748         0.2501         7.0766
          6.0158973         -0.6303        -0.1218         6.0518
          9.0238447         -0.1603         0.2435         6.2915
          12.031794          0.9669         1.4636        10.0070
          15.039742          1.5530         2.1146        11.6567
          18.047692         -0.3472         0.5891        10.2145
          21.055639         -0.8805        -0.3061         5.8318
          24.063589         -0.8691         0.0187         5.1254
          27.071536         -0.4483        -0.0013         6.2838
          30.079486         -0.0089         0.6229         9.4612
          33.087436         -0.2324         1.0693        10.3349
          36.095383          1.3082        -0.2536         9.9623
          39.103333         -0.0980        -0.9773         7.0169
          42.111280         -0.1923        -1.1896         4.6832
          45.119230         -0.1374        -0.5673         3.2284
          48.127178          0.4395         0.1562         4.8342
          51.135125          0.8045         0.3101         5.4563
          54.143075          1.5378         0.8544         6.0313
          57.151025          1.4661         1.1013        10.3094
          60.158972         -0.0671         0.0158         7.1558
          63.166922          0.3846         0.0032         4.9088
          66.174875          1.2133         0.3317         7.5135
          69.182823          0.2315         0.6416        10.7151
          72.190770         -0.9519         0.1135         7.8775
          75.198717         -0.8790         0.3190         5.8973
          78.206664          0.1695         0.8474         7.4667
          81.214612          0.8767         2.1429         7.7733
          84.222577          0.4101         2.8351         9.7555
          87.230506          0.2343         1.9433         9.3433
          90.238472         -0.3641         1.7124         8.4069
          93.246400         -0.3674         1.0660         6.9323
          96.254366         -0.3896         2.2930         7.0034
          99.262313         -1.0525         2.1486         7.1652
          102.27026         -0.4359         1.6089         7.1763
          105.27821         -0.0784         2.2524         9.7282
          108.28615          0.4250         1.9594        10.0146
          111.29410          0.6653         1.8073        11.1733
          114.30205          0.2432         1.1500         8.2199
          117.31000          0.2183         1.1571         6.7217
          120.31796          0.2224         1.0376         7.9397
          123.32589          0.0098         1.1371         8.6019
          126.33386         -0.1461         0.4424         8.3120
          129.34178         -0.3254         0.7632         7.6702
          132.34975         -0.5454         1.0182         7.4513
          135.35770         -0.2417         1.1228         7.3348
          138.36565         -0.1231         2.1043         7.8603
          141.37359         -0.4849         2.1336         8.0063
          144.38154         -0.0914         1.5221         7.7055
          147.38949         -0.5195         1.2658         7.1975
          150.39743         -0.1152         0.7729         6.6882
          153.40538          0.1029         1.3056         7.5321
          156.41335         -0.2395         1.1745         7.1858
          159.42128         -0.0761         1.1972         8.7413
          162.42924         -1.1544         1.6744         9.7420
          165.43719         -0.8613         1.4149         8.8361
          168.44514         -0.4048         1.0743         7.6398
          171.45308         -0.2492         1.6434         8.1067
          174.46103         -0.0149         1.8441         8.6005
          177.46898         -0.3480         1.9968         8.2595
          180.47692          0.4038         0.9283         7.6173
          183.48487          0.7315         0.1104         7.5929
          186.49282          1.1408         1.0088         8.4822
          189.50077          0.0409         1.8310         7.9375
          192.50873         -0.6668         1.2756         8.8721
          195.51666         -0.0596         1.0337        10.2401
          198.52463         -0.6335         0.7342         8.3520
          201.53257         -0.5145         1.8807         9.5024
          204.54052         -1.0785         2.8166         9.2813
          207.54847         -0.6034         2.4628         9.1811
          210.55641         -0.1590         1.9482         8.3530
          213.56436         -1.0768         1.1006         8.2954
          216.57231         -0.2524         1.7342         6.8320
          219.58026         -0.1671         2.0316         9.0052
          222.58820         -0.6039         1.3442         8.3009
          225.59615         -0.3760         1.1248         8.5232
          228.60412          0.0950         2.1035         8.3167
          231.61206          0.6196         0.9529         9.1267
          234.62001          0.0910         0.5446         9.6554
          237.62796          0.2753         0.1122         8.9393
          240.63591         -0.5041         0.4436         8.4777
          243.64385          0.2102         1.1214         8.0805
          246.65180          0.2000         0.9217         7.9170
          249.65975          0.0648         1.0640         9.4712
          252.66769         -0.2818         0.8198         9.3894
          255.67564          0.8685         1.3510         7.8134
          258.68359          1.3054         0.9792         8.5182
          261.69154          1.3238         0.8010         9.6924
          264.69950          0.4182         0.0490         9.5881
          267.70745          0.9015         1.4857        10.6405
          270.71540          0.7297         0.8885        10.4407
          273.72334          0.5776         0.6065        11.0179
          276.73129          1.3614         0.4626         9.3243
          279.73924          0.6095         1.3117         7.9836
          282.74718         -0.3805         1.0452         7.9760
          285.75513         -0.6665         0.0868         6.6780
          288.76308          0.3927         1.1331         8.8148
          291.77103          0.4160         1.0484         8.6521
          294.77897          0.0549         1.4339         8.0147
          297.78694         -0.0954         1.1116         7.1503
          300.79489         -0.0717         1.5036         8.2565
          303.80283         -0.1337         2.1175         9.2508
          306.81078         -0.0028         2.0196         9.4196
          309.81873         -0.1734         1.1037         9.1178
          312.82667          0.2513         0.9966         8.0258
          315.83462          0.1520         1.1732         8.7431
          318.84257         -0.1898         0.8438         8.5932
          321.85052         -0.1057         1.1610         7.9843
          324.85846         -0.4786         0.6878         8.7097
          327.86641         -0.0531         0.8203         7.4024
          330.87436         -0.0891         0.6201         8.1442
          333.88232         -0.3914         0.2728         7.4913
          336.89027         -0.3324         0.8440         7.7784
          339.89822          0.2240         1.1874         6.9367
          342.90616          0.1000         2.0808         8.7352
          345.91411          0.1455         1.6593         8.0616
          348.92206          0.1445         1.9530         9.1476
          351.93001          0.7415         1.7310         9.1835
          354.93795         -0.1153         1.4224         6.6090
          357.94590          0.2985         0.9285         7.2827
          360.95385          0.8716         1.7287         8.8804
          363.96180          0.2902         1.1446         8.6234
          366.96974          1.0808         0.8470         6.4040
          369.97771          0.2512         1.0002         6.9749
          372.98566         -0.3400         1.0405         6.9959
          375.99360          0.0099         1.9371         8.5495
          379.00155          0.9183         1.2225         8.0186
          382.00950          0.4258         0.2557         7.0383
          385.01744          0.0246         0.6715         7.7864
          388.02539         -0.7446         0.7804         6.1134
          391.03334         -0.6828         0.3483         5.4207
          394.04129         -1.0751         0.6396         7.2631
          397.04923          0.0713         0.8509         7.6838
          400.05720          0.3714         1.1634         8.5183
          403.06513         -0.6137         1.5217         8.7479
          406.07309         -0.3555         2.2417         9.2919
          409.08104         -1.1052        -0.1793         6.4549
          412.08899         -0.2749         0.2470         6.6701
          415.09693         -0.3717         0.1939         7.2087
          418.10488         -0.3727         1.5460         7.9451
          421.11283         -0.0047         1.5240         7.3241
          424.12078          0.0210         2.1455         7.3584
          427.12872         -0.1859         1.8217         8.4769
          430.13667          0.2519         0.3455         8.3932
          433.14462         -0.5071         1.0399         8.6771
          436.15258         -0.3422         1.3752         8.4829
          439.16051         -0.9620         2.1132         6.6272
          442.16848         -0.3385         1.6175         7.1526
          445.17642         -0.3302         2.5424         7.4148
          448.18437          0.0703         2.3890         8.5469
          451.19232         -0.1483         1.0965         8.1339
          454.20027          0.8332         0.3781         8.5794
          457.20821         -0.2369         0.0898         6.9610
          460.21616         -0.6273         0.6242         7.4997
          463.22411         -0.6396         0.9428         7.5886
          466.23207         -0.7104         0.7813         8.5107
          469.24000         -0.4831         1.3822         9.4763
          472.24797         -0.0482         1.6105         6.8218
          475.25590         -0.4965         0.8235         7.2280
          478.26386          0.1377         0.4117         6.7581
          481.27181          0.5923         0.6229         7.6515
          484.27976         -0.0863         1.7804         8.8042
          487.28770          0.3738         1.6567         7.7827
          490.29565          1.0849         1.6728         7.9794
          493.30360          0.6718         2.2326         9.2351
          496.31155         -0.4690         1.5770         7.3114
          499.31949         -0.2150         1.6041         7.9834
          502.32746         -0.0841         2.3860         8.7245
          505.33539         -0.2772         2.6752         9.1168
          508.34335         -0.5064         3.7913         8.0805
          511.35128         -0.8577         5.0556         9.0224
          514.35925         -1.9968         3.4667         9.5666
          517.36719         -1.4519         3.2285         8.2184
          520.37514         -2.0939         6.0511         8.3292
          523.38309         -2.4674         4.7865         9.9059
          526.39104         -2.0643         4.5848         9.6072
          529.39898         -1.7746         3.5366         6.8896
          532.40693         -1.8965         3.9608         6.9970
          535.41488         -1.3314         4.4811         7.7663
          538.42284         -2.4656         5.9622         9.5706
