Time                      Vx(km/s)         Vy(km/s)       Vz(km/s)       Density(cm^-3)Temp(eV)
          0.0000000       -246.2944       144.1390       -15.9401         7.6721       105.8495
          3.0079474       -245.1854       137.2397       -14.4241         7.5444       114.5723
          6.0158973       -243.0719       131.2964       -13.7383         7.5385       119.5225
          9.0238447       -241.2050       127.8089       -13.2394         7.7172       116.1287
          12.031794       -243.2568       125.9657       -12.8290         7.6423       109.2381
          15.039742       -247.3075       125.8161       -15.3136         7.2132       107.2054
          18.047692       -250.9792       133.0130       -16.8308         7.3678       112.6195
          21.055639       -252.5279       140.2647       -15.2672         7.9830       117.4613
          24.063589       -251.9860       135.7768       -13.6701         8.2117       117.7480
          27.071536       -250.1444       132.0468       -13.7277         8.3467       116.3538
          30.079486       -248.4068       129.3433       -12.9045         7.9081       115.5212
          33.087436       -250.6659       128.7647       -12.0891         7.6203       113.7768
          36.095383       -253.4267       132.2683       -12.0516         7.6770       111.1270
          39.103333       -253.2895       131.6543       -11.3577         7.9910       111.6329
          42.111280       -251.6767       127.8771       -10.1617         8.3114       117.4478
          45.119230       -249.7677       127.9658       -10.1966         7.9529       127.1907
          48.127178       -251.9030       128.1543        -8.7072         7.8962       124.3687
          51.135125       -253.8830       128.3022        -7.9413         7.9980       118.0345
          54.143075       -253.4592       128.8203        -8.9041         7.8319       116.9677
          57.151025       -255.0361       127.2181       -10.3518         7.3758       117.4975
          60.158972       -256.9821       131.1147       -12.2484         7.5780       121.1531
          63.166922       -259.4222       136.3572       -12.2387         7.6941       127.6141
          66.174875       -261.5728       134.1787       -11.2468         7.0198       128.9836
          69.182823       -264.3520       137.7096       -13.3930         6.7316       122.7821
          72.190770       -265.5350       143.9145       -14.7513         7.2908       117.5505
          75.198717       -262.5626       142.0954       -13.1045         7.9525       115.1092
          78.206664       -261.9602       135.9572       -12.5566         8.0032       114.1225
          81.214612       -258.2493       128.6259       -18.3952         7.8267       113.2947
          84.222577       -255.9964       126.9123       -23.7356         7.3405       113.7701
          87.230506       -255.8055       127.2106       -24.8960         7.3793       111.9961
          90.238472       -252.8134       124.6002       -24.2891         7.5906       110.2963
          93.246400       -250.5202       119.4368       -22.4355         7.5689       113.1247
          96.254366       -253.5367       118.3347       -21.7041         7.8140       110.3881
          99.262313       -255.0493       116.1559       -22.1665         7.7801       108.4010
          102.27026       -256.5616       117.4400       -26.1761         7.5591       110.7602
          105.27821       -263.1430       117.9466       -30.2955         7.6105       106.9938
          108.28615       -263.3680       123.6172       -31.7162         7.6864       102.7521
          111.29410       -263.6880       124.6501       -29.6276         7.6322       103.8841
          114.30205       -263.4729       121.7571       -25.4969         7.4615       110.8734
          117.31000       -261.9667       121.0754       -21.5829         7.8896       114.9319
          120.31796       -260.4202       125.2159       -26.5069         8.0966       112.3492
          123.32589       -263.6022       128.7669       -30.7011         7.8606       110.3465
          126.33386       -263.0968       132.3413       -30.9566         7.9368       109.6258
          129.34178       -260.3096       130.8919       -31.8783         8.1711       107.0582
          132.34975       -255.8508       123.6994       -32.3328         8.2851       103.6348
          135.35770       -251.1427       118.6756       -31.5468         8.1921       102.8273
          138.36565       -246.8142       113.3728       -30.1246         8.3148        98.9361
          141.37359       -244.7128       110.1115       -28.8888         8.1785        99.4348
          144.38154       -247.1051       112.9572       -29.2593         7.8913       105.7163
          147.38949       -251.5134       118.9060       -28.9574         7.7745       110.9635
          150.39743       -253.2214       121.7179       -29.9564         7.7018       112.6861
          153.40538       -254.4657       120.7448       -31.8280         7.7133       109.7990
          156.41335       -256.2685       119.0413       -31.2953         7.6962       108.8998
          159.42128       -254.1215       120.1010       -29.3811         7.8864       105.5626
          162.42924       -251.0123       122.9190       -31.1571         7.6423       106.9076
          165.43719       -249.8544       125.1834       -31.7791         7.5073       108.4103
          168.44514       -249.6880       125.0341       -28.3371         7.6822       108.4073
          171.45308       -249.8882       120.5120       -26.0943         7.5902       108.7117
          174.46103       -251.8530       117.2730       -30.3591         7.5643       107.0746
          177.46898       -252.6260       118.5495       -34.3850         7.8182       105.7213
          180.47692       -252.7371       121.4071       -30.7364         8.2075       104.9542
          183.48487       -255.4479       124.4198       -27.4522         8.2337       106.1784
          186.49282       -257.2664       124.1282       -27.8931         8.0655       107.4626
          189.50077       -252.4824       121.8237       -27.2678         8.1095       105.6159
          192.50873       -248.8109       123.3615       -28.6120         8.3054       102.1586
          195.51666       -248.6667       125.5015       -31.0846         8.0099       104.0554
          198.52463       -248.1224       125.9574       -32.9975         7.9207       103.6282
          201.53257       -247.3935       124.9610       -30.8940         8.1924        99.9355
          204.54052       -246.2238       119.2743       -29.7471         8.2890        96.0779
          207.54847       -247.0620       116.1049       -29.7986         8.3715        97.2693
          210.55641       -251.3361       120.6989       -31.7916         8.3607       102.5324
          213.56436       -252.6418       123.8646       -29.3643         8.3768       103.7268
          216.57231       -252.6723       120.7787       -26.5447         8.3351       105.2434
          219.58026       -252.8962       115.0414       -27.0349         8.4628       101.5430
