Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2007-06-08/06:30:00         10.8569       -10.4971        28.3735        32.1421      -113.9993        99.5593       -26.2882       153.6195        33.6615       117.7180
2007-06-08/06:30:03          7.9617        -6.2550        26.1296        28.0227      -111.1261        97.3299       -25.3592       149.8840        33.0713       119.0210
2007-06-08/06:30:06          8.2457        -8.3471        28.3326        30.6660      -112.3316       108.7169       -32.0676       159.5810        34.4046       126.1857
2007-06-08/06:30:09          7.0561        -6.1339        28.8087        30.2878      -116.4184       102.6485       -19.7979       156.4670        30.0698       122.1330
2007-06-08/06:30:13         10.1278       -11.9215        27.6420        31.7613      -129.1772       112.4926       -25.6211       173.1986        35.5498       121.6389
2007-06-08/06:30:16         10.2519       -10.7612        27.5194        31.2766      -113.4976        91.3369       -27.2878       148.2186        32.6803       115.9130
2007-06-08/06:30:19          8.7227        -6.5735        27.7184        29.7928      -114.5918        99.6051       -27.2937       154.2641        34.5264       110.7733
2007-06-08/06:30:22          8.5789        -7.5532        25.8703        28.2829      -116.6469       112.8587       -25.2379       164.2576        34.1917       115.7963
2007-06-08/06:30:25          9.8734        -9.1523        28.8051        31.7959      -129.6200       108.4178       -19.3883       170.0931        32.2299       115.4746
2007-06-08/06:30:28          9.1514        -8.3160        29.5288        32.0133      -118.0062       100.6602       -24.5192       157.0323        34.6602       109.6946
2007-06-08/06:30:31         10.4731        -9.8322        29.3915        32.7142      -113.3063        98.3165       -22.1892       151.6469        34.5449       106.2289
2007-06-08/06:30:34          8.7473        -9.7573        29.1367        31.9479      -117.2102       102.7330       -20.8764       157.2518        32.4940       111.9819
2007-06-08/06:30:37         10.1007        -7.7810        26.0122        28.9690      -120.2827       101.6384       -23.5245       159.2222        33.5752       120.0280
2007-06-08/06:30:40          8.1855        -6.1823        29.4297        31.1662      -108.8642       103.3369       -27.2338       152.5504        32.7415       117.7823
2007-06-08/06:30:43          7.4431        -8.5037        30.4215        32.4527      -104.6775       106.7980       -22.0319       151.1575        32.1395       114.1646
2007-06-08/06:30:46          8.1403        -8.9758        27.3921        29.9526      -117.6152       104.3929       -19.2605       158.4366        29.9751       128.6214
2007-06-08/06:30:49          8.5792        -6.8186        28.5527        30.5836      -120.7804       106.1659       -24.7633       162.7032        32.9280       123.3779
2007-06-08/06:30:52         10.0641        -9.7316        26.1778        29.6862      -116.1307       108.5065       -23.1504       160.6111        32.4711       124.6253
2007-06-08/06:30:55          8.6895        -6.7295        29.1814        31.1825      -121.4948       102.6028       -25.3491       161.0307        31.0000       128.2018
2007-06-08/06:30:58          9.4623       -10.9935        30.0713        33.3867      -118.7212       105.3498       -18.0730       159.7496        33.0707       118.4355
2007-06-08/06:31:01         11.0477        -8.2544        27.9807        31.1947      -117.0699       101.3510       -17.6727       155.8515        31.3308       119.6192
2007-06-08/06:31:04          7.3797        -6.3016        27.4308        29.0967      -117.8467       104.1111       -19.5244       158.4555        32.0196       117.4424
2007-06-08/06:31:07          9.0029        -7.7952        29.1270        31.4674      -119.3240       104.4379       -20.0842       159.8401        33.1571       119.6166
2007-06-08/06:31:10          8.8692        -9.2296        27.1370        30.0045      -114.9020       104.4468       -19.7223       156.5266        32.8581       116.9290
2007-06-08/06:31:13          7.9699        -8.7904        27.8077        30.2334      -118.7268       109.6673       -17.1848       162.5371        32.0128       120.0399
2007-06-08/06:31:16          9.8171       -10.1362        25.2361        28.9133      -119.1503       110.2189       -19.3909       163.4656        33.4057       119.2499
2007-06-08/06:31:19          8.3364        -8.7362        28.5253        30.9760      -114.0078        92.9764       -26.7955       149.5339        33.1309       115.1534
2007-06-08/06:31:22          9.2108        -8.7458        28.0651        30.8054      -114.0982       100.4157       -18.9809       153.1731        32.0823       120.9501
2007-06-08/06:31:25          8.4018        -8.6843        25.5974        28.3061      -112.7709       107.6267       -19.5354       157.1064        33.8076       116.1679
2007-06-08/06:31:28          8.3022       -11.4282        27.5716        30.9795      -110.1006       100.6398       -24.2412       151.1230        34.2052       114.0436
2007-06-08/06:31:31          7.6862        -5.9723        28.8281        30.4270      -123.1978        97.2291       -18.5535       158.0362        32.5610       117.1573
2007-06-08/06:31:34          7.5895        -7.2472        26.6365        28.6291      -116.1256       109.1522       -20.7690       160.7193        33.5958       118.2972
2007-06-08/06:31:37          8.0115        -6.8829        24.8887        27.0371      -117.4454       109.3756       -21.9125       161.9771        34.7632       120.2127
2007-06-08/06:31:40          6.2166        -6.2931        27.2138        28.6154      -118.7213       109.4612       -22.8768       163.0945        34.5033       119.1803
2007-06-08/06:31:43          6.7484        -6.7816        25.5486        27.2812      -123.3936       115.4204       -17.0657       169.8208        33.5777       119.3795
2007-06-08/06:31:46          8.1661        -7.2141        27.7923        29.8520      -117.3311       103.7981       -25.4812       158.7133        35.2180       123.1284
2007-06-08/06:31:49          3.7900        -3.2742        28.6037        29.0389      -109.1938        98.6907       -22.8188       148.9424        32.4175       115.9935
2007-06-08/06:31:52          6.9805        -6.1172        27.3422        28.8746      -126.5312       121.3144       -20.9171       176.5357        35.2346       120.6562
2007-06-08/06:31:55          7.4838        -5.6642        30.2756        31.6970      -123.5154       101.1695       -20.0779       160.9175        33.6506       118.2484
2007-06-08/06:31:58          6.8902        -6.4992        31.1250        32.5343      -118.2845       103.3648       -15.8415       157.8811        32.3612       113.4100
2007-06-08/06:32:01          6.8009        -4.2307        25.7798        26.9953      -118.3489       112.5386       -14.2908       163.9378        33.3085       116.7779
2007-06-08/06:32:04          6.4948        -1.9942        24.0913        25.0309      -119.1125       108.7041       -25.4254       163.2508        37.1609       118.5038
2007-06-08/06:32:07          6.8078        -4.9861        26.9949        28.2830      -111.5802       105.8905       -27.0819       156.1934        37.5869       117.4280
2007-06-08/06:32:10         10.2641        -7.8670        27.6269        30.5039      -115.1211       114.6845       -17.9635       163.4873        33.1096       118.0840
2007-06-08/06:32:13          5.2784        -6.1358        31.3845        32.4114      -115.0049       100.6706       -23.2436       154.5993        33.2747       111.2453
2007-06-08/06:32:16          7.7401        -7.8585        29.6792        31.6626      -116.7042       106.8485       -17.6221       159.2075        33.0802       110.5393
2007-06-08/06:32:19         10.8046        -6.7450        27.1930        30.0282      -123.6933       105.6513       -18.9979       163.7778        34.2261       116.6902
2007-06-08/06:32:22          7.3565        -5.5014        30.9924        32.3251      -113.8662       101.4005       -23.5998       154.2871        33.0042       112.4652
2007-06-08/06:32:25          8.2943        -8.9689        27.9808        30.5313      -112.9613       111.5048       -17.8621       159.7267        32.9121       116.1512
2007-06-08/06:32:28          7.7086        -4.1135        28.4166        29.7295      -121.5867        97.0337       -26.1404       157.7409        34.1701       122.1079
2007-06-08/06:32:31          8.2928        -6.1287        27.5489        29.4155      -112.6987       110.8400       -20.1681       159.3526        32.3422       116.6150
2007-06-08/06:32:34          8.7735        -6.3399        27.0726        29.1564      -121.8151       108.3965       -20.6981       164.3689        35.6486       112.8461
2007-06-08/06:32:37          6.6586        -8.4480        27.1856        29.2364      -116.3060        99.1898       -21.3824       154.3467        36.2937       113.0792
2007-06-08/06:32:40          8.4652        -6.5764        26.5139        28.5989      -114.5655       107.0213       -21.7236       158.2742        33.5337       118.8959
2007-06-08/06:32:43          7.1860        -6.2402        29.2300        30.7404      -111.0214       103.3608       -24.8796       153.7147        34.9341       116.5578
2007-06-08/06:32:46          9.5850       -11.1119        29.0791        32.5721      -114.2434       114.5912       -16.5025       162.6500        34.9040       113.7620
