Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
          0.0000000          7.4698         1.5845        31.6195        32.5285       -30.9519       101.2358         3.3401       106.0375         6.4640       194.5228
          3.0073144          8.3889         1.7405        31.5131        32.6570       -36.4466       100.0472         5.1555       106.9321         5.5117       209.0464
          6.0146291          8.6236         0.6313        31.6315        32.7920       -44.6806        97.7029        -0.9717       107.4470         6.4489       187.3099
          9.0219436          8.7797         0.6169        31.8236        33.0182       -45.5324        92.1518         5.9247       103.2614         5.7450       211.3599
          12.029258          9.2571         3.0420        31.7310        33.1934       -45.9140        85.8910        14.1002        98.4130         6.2349       198.2258
          15.036573         10.1547         4.5785        31.4892        33.4014       -49.9478        81.2921        10.5936        96.2400         5.9623       204.2878
          18.043887         11.4286         6.3802        31.0503        33.6964       -62.5794        71.4450         3.5940        95.7265         6.4705       195.4183
          21.051202         12.6460         6.1999        31.8037        34.7827       -65.2783        61.0508        -5.4009        89.7598         6.3547       187.7996
          24.058517         10.9914        -4.6660        31.9610        34.1187       -55.6825        84.2880       -15.3140       103.5764         6.6607       182.7973
          27.065831          6.6744       -11.3811        34.4782        36.9164       -55.9466       122.1269       -22.6591       136.2327         6.5598       158.1347
          30.073146          9.2491        -6.3909        37.4679        39.1182       -57.4400       118.6932       -15.9072       133.0519         5.6931       104.9771
          33.080461          9.9018        -4.8913        38.0338        39.6048       -59.5214       107.2519        -5.7715       122.9136         8.2393        43.9067
          36.087776         10.6218        -3.8469        37.9862        39.6304       -61.7295       100.8922        -5.5587       118.4237         8.6770        38.7474
          39.095090         12.1988        -3.5113        37.5618        39.6488       -58.7559        97.8222        -5.9602       114.2832         7.9721        35.7194
          42.102405         10.4460        -3.2957        37.6978        39.2569       -61.1285        90.9512        -5.6933       109.8288         7.2731        46.9600
          45.109720         11.4812        -5.3079        36.8648        38.9744       -66.7515        89.6429        -2.3131       111.8069         6.9386        56.5054
          48.117035         10.5449        -4.5501        36.0459        37.8313       -68.6948        92.3535         1.6201       115.0736         6.0899        61.9253
