Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000          1.3318        -0.9935         2.6409         3.1201      -365.8261        77.1950        98.1421       386.6374         3.2502       271.8822
          3.0078547          2.1882         0.8100         7.2197         7.5874      -366.5863        73.2488        90.2437       384.5962         3.2040       268.5721
          6.0157068          0.3273         0.8341         8.2845         8.3328      -366.3420        83.2278        91.4455       386.6919         3.1837       268.1425
          9.0235615          2.1333        -0.0883        10.9775        11.1833      -364.1145        86.0107        93.3912       385.6399         3.1124       265.4893
          12.031414          2.1776         0.1294        11.0063        11.2204      -354.1244        78.4122        91.6807       374.1166         3.0508       272.9893
          15.039265          0.4796        -2.6308        12.0709        12.3635      -355.1161        84.4364        93.6328       376.8957         3.0508       267.7745
          18.047120          2.5619        -5.3527        12.1046        13.4809      -364.7532        85.7470       107.3179       390.2479         2.7871       266.3013
          21.054972          1.5731        -2.6014         8.4646         8.9940      -376.1011        80.8205       122.3567       403.8798         2.5493       300.8078
          24.062827          1.4268        -5.4281        12.9679        14.1304      -384.5475       109.8442       121.1546       418.4503         2.7144       298.4407
          27.070682          2.1246        -5.2262        12.2072        13.4478      -384.0216       125.0815       133.4707       425.5508         2.6116       272.8541
          30.078539          7.3829        -5.9896         8.4115        12.6939      -378.3835       101.6972       129.1653       412.6112         2.7437       265.2182
          33.086393          9.6658        -5.8882         7.4911        13.5726      -370.4109        99.0274       122.8306       402.7269         2.8266       268.1055
          36.094246          9.7932        -7.9630         3.3958        13.0709      -361.8746       101.6567       121.8379       395.2434         2.8508       260.6645
          39.102100         11.5131        -6.5959         5.4065        14.3279      -342.6099        73.7812       118.0395       370.0862         2.8480       222.9828
          42.109954         13.4206        -7.3803         3.8874        15.8017      -337.5004        74.0505       107.1361       362.6484         2.4591       228.0997
          45.117807         17.6991        -3.3830         2.5060        18.1930      -319.5588       109.8423        91.7215       350.3961         2.1839       247.4966
          48.125661         16.1199        -2.8850         4.6221        17.0158      -310.6282       116.3736        87.5986       343.2158         1.9632       255.7464
          51.133514         17.1204        -4.2510         1.3745        17.6938      -314.6060       107.1145        82.3875       342.4161         2.1915       252.1099
          54.141368         16.9226        -3.0801        -1.5309        17.2686      -306.4672       106.6168        60.7622       330.7011         2.5958       262.3549
          57.149222         14.7144        -6.9541        -0.0743        16.2751      -302.8451        95.2034        47.8778       321.6663         2.6784       279.2369
          60.157075         16.6356        -7.5231        -1.2287        18.2989      -306.3495        77.1400        57.7473       321.3513         2.2923       269.1484
          63.164929         17.6794        -9.1300         0.7824        19.9130      -318.2526        74.4059        41.3473       329.4916         1.8404       293.1567
          66.172782         15.5497        -9.8484         0.4363        18.4112      -323.9263        66.1101        34.4763       332.4907         1.9121       302.6504
          69.180636         13.8940       -12.0204        -1.3631        18.4226      -331.2082        61.4999        32.3661       338.4592         1.9275       306.0949
          72.188481         11.9925       -13.0653        -1.6085        17.8076      -344.1547        78.4790        37.8763       355.2405         1.8565       313.7413
          75.196343         12.4704        -9.9828         5.5961        16.9258      -365.5413       113.1403        84.4978       394.1711         2.0023       300.6609
          78.204197         10.2587        -4.8554        12.5364        16.9108      -377.9644       136.1378       131.3448       422.7561         2.5392       248.7594
          81.212050         10.0802        -4.9285        12.7366        16.9741      -378.9986       125.3050       122.9160       417.6856         2.7700       240.6288
          84.219904          9.8470        -5.7142        11.5972        16.2515      -384.3203       122.5561       123.7001       421.9331         3.1148       220.8161
          87.227749         10.4525        -9.1882         8.8169        16.4747      -378.6073       110.5999       106.7923       409.0514         3.6786       188.6552
          90.235603         11.1490       -11.9810         3.4334        16.7222      -373.1751        91.8748        84.0662       393.4201         4.0849       168.8644
          93.243456          9.3774       -10.0739         4.6055        14.5131      -369.9432        87.6074        80.6512       388.6358         4.8819       160.1201
