Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000          4.4239        -4.9104        13.6474        15.1636        52.5200        33.9337        -2.6094        61.7799         0.9178      1980.8707
          3.0094838          2.4043        -5.1359        13.3029        14.4612        48.3975        41.7012        -8.4593        64.6346         0.8595      2083.6292
          6.0189648          1.6457        -5.3510        12.7525        13.9272        47.2502        47.6224        -9.4337        67.8313         0.8304      2200.7178
          9.0284457          2.2923        -5.4720        12.2960        13.6524        47.8355        54.0238        -5.8324        72.5650         0.7430      2393.5419
          12.037930          3.4105        -5.1174        11.7025        13.2200        37.1341        63.7495        -6.7703        74.8886         0.7139      2438.0094
          15.047410          3.0899        -4.9828        11.3672        12.7902        23.2437        72.0601        -4.5640        75.9996         0.6847      2546.2704
          18.056894          2.5285        -5.0611        11.3483        12.6804        13.6361        78.6540        -2.1746        80.5265         0.6556      2788.5997
          21.066375          2.5105        -5.7030        11.2940        12.8989        -4.4583        79.3389        -2.3455        79.9081         0.6265      2920.7012
          24.075856          3.0047        -5.7115        11.0455        12.7927       -15.8738        79.2469         1.2164        80.9053         0.5973      3016.1300
          27.085340          3.4138        -5.7161        10.3477        12.3046       -18.7925        81.5616        -3.3001        83.8485         0.6265      2951.7409
          30.094821          3.8141        -5.2531        10.0227        11.9414       -12.8281        80.4656       -12.4203        82.8422         0.5390      3498.3334
          33.104302          3.7549        -5.5773         9.8980        11.9656       -10.9295        74.2573       -13.8676        76.9026         0.5390      3344.1250
          36.113790          3.8298        -5.7481        10.0201        12.1701       -17.3883        68.8928        -8.4674        71.7869         0.5099      3543.6324
          39.123272          4.0034        -5.9616        10.0016        12.3125       -12.0495        56.6583       -14.0840        59.8089         0.5390      3427.5847
          42.132753          4.3264        -6.1151         9.9201        12.4306        -7.0638        56.9680        -9.6982        58.5545         0.5390      3461.7216
          45.142235          4.2402        -6.4773         9.9317        12.5925        -3.4096        64.1408        -4.2808        64.9116         0.5390      3480.2717
          48.151721          4.5557        -6.4486        10.1608        12.8679         8.7660        46.0717        -9.2070        49.0981         0.5390      3526.7009
          51.161203          4.4921        -6.9820        10.1703        13.1287         9.0759        31.0906       -10.3297        35.2884         0.5099      3560.3423
          54.170684          4.4410        -7.0009        10.3076        13.2280         7.1851        40.2563        -6.0240        41.6141         0.5390      3289.0693
          57.180165          4.3266        -6.7341        10.7590        13.4098         9.2367        37.0719        -9.1503        39.3262         0.5390      3370.5994
          60.189646          4.4215        -6.5453        11.0336        13.5695         2.3343        35.9919        -7.4283        37.4233         0.5682      3267.3874
          63.199127          4.1706        -6.7463        11.0853        13.6305         0.9872        37.2962       -11.0940        39.8984         0.5390      3399.2520
          66.208608          4.3020        -6.5170        11.1236        13.5909        12.6601        36.0709       -21.5676        44.6817         0.5390      3397.0893
          69.218089          4.1955        -6.3233        11.2510        13.5710         8.1333        29.6924       -27.1450        41.7143         0.5682      3264.9479
          72.227576          4.3913        -6.2749        11.3625        13.7027         0.0756        30.5648       -19.0833        36.4466         0.5682      3212.4044
          75.237057          4.3024        -6.2988        11.3275        13.6564         0.6515        28.0864       -18.7350        35.2193         0.5682      3205.6505
          78.246539          4.4941        -6.3239        11.3901        13.7813         0.3233        16.1640       -24.2170        29.3552         0.5973      3062.7426
          81.256020          4.4068        -6.1610        11.3937        13.6819         0.5975        15.2592       -28.4691        33.0115         0.6265      2952.2957
          84.265501          4.4875        -6.2357        11.5653        13.8844        -3.5175        17.7309       -31.1578        36.9445         0.5973      3091.0907
          87.274988          4.4884        -6.3066        11.6041        13.9489         2.8099        20.0984       -30.8658        38.1244         0.5973      3054.0581
