Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000         -1.4510        -0.8486         7.1349         7.3302        52.3623        -3.8863        12.8647        54.1788         0.8771       758.9949
          3.0096269         -1.4243        -0.8594         7.2468         7.4353        52.1996        -0.2804         9.6228        53.0825         0.8827       768.6738
          6.0192537         -1.1373        -0.9126         7.3178         7.4616        51.9150        -0.1829        10.4439        52.9656         0.8947       756.1327
          9.0288806         -1.0793        -1.2612         7.2251         7.4133        52.0200        -0.6410         9.7678        52.9715         0.8480       793.1998
          12.038507         -1.0414        -1.1420         7.2527         7.4156        59.1257        -0.5566         8.5743        59.7485         0.8304       802.0553
          15.048135         -0.9431        -1.2633         7.2794         7.4482        59.6925         3.9828         7.6412        60.6642         0.8420       795.3655
          18.057761         -0.8842        -1.3082         7.3194         7.4877        60.0646        10.8646         6.9249        61.4585         0.8827       775.7988
          21.067388         -0.7689        -1.3651         7.2165         7.3846        63.5642        12.8066        10.4212        65.8114         0.9178       742.3130
          24.077015         -0.8830        -1.3038         7.2550         7.4239        68.4326        18.1337        12.9831        71.9878         0.8947       748.8458
          27.086642         -0.5335        -1.6526         7.2850         7.4891        73.0043        16.0127        10.2569        75.5416         0.8595       775.1316
          30.096269         -0.1361        -1.7993         7.3155         7.5348        72.8003        15.6401         7.7560        74.9735         0.8711       767.2479
          33.105896          0.2428        -1.8131         7.4247         7.6467        74.3503        22.2380         8.4658        78.0934         0.8887       757.1871
          36.115523          0.4207        -1.7111         7.5390         7.7422        74.7226        23.8778         7.4343        78.8025         0.8771       749.1011
          39.125149          0.6377        -1.9161         7.6487         7.9108        78.2791        25.0633         8.3535        82.6276         0.8595       763.3641
          42.134777          1.0600        -1.9247         7.8894         8.1897        79.2985        29.2912         9.3550        85.0926         0.8595       752.1062
          45.144403          1.3316        -2.1896         8.0323         8.4312        78.7536        35.8395        14.6861        87.9921         0.8711       746.1161
          48.154030          1.6368        -2.5463         8.1550         8.6986        71.6049        41.9692        20.2745        85.5500         0.8887       731.9812
          51.163657          1.7667        -2.9255         8.1748         8.8604        63.9866        47.3705        18.1553        81.7946         0.8887       732.2798
          54.173284          1.8205        -2.6566         8.1271         8.7420        54.5442        50.5438        17.0113        76.4930         0.8771       747.6828
          57.182911          1.5120        -2.7333         8.0485         8.6334        46.5391        49.7360        20.3851        71.1025         0.8943       732.3933
          60.192536          1.4820        -2.4294         7.8652         8.3642        49.6227        47.5962        22.0634        72.3117         0.9354       712.3955
          63.202163          1.1191        -2.6038         8.0356         8.5208        50.9750        46.3704        24.5506        73.2473         0.9063       741.3718
          66.211795          1.1858        -2.6898         8.0819         8.5998        42.2871        47.1513        23.0948        67.5052         0.8771       765.9346
          69.221421          0.9535        -2.5060         8.0823         8.5155        41.8095        50.2203        22.9188        69.2901         0.8711       743.6341
          72.231048          0.9671        -2.1984         8.1359         8.4830        41.0101        49.4614        25.2965        69.1057         0.8771       731.8098
          75.240674          0.7532        -2.4305         8.1211         8.5104        33.8265        48.2814        25.8186        64.4160         0.8711       739.3340
          78.250301          0.9965        -2.4220         8.1986         8.6067        30.2935        53.5420        27.8389        67.6822         0.8655       741.5561
          81.259928          0.8953        -2.1662         8.3557         8.6782        27.4047        57.9016        28.3177        70.0846         0.8420       760.7248
          84.269555          0.8933        -2.0052         8.4463         8.7269        24.4037        54.1164        31.5592        67.3188         0.8711       743.6183
          87.279181          0.9107        -2.1639         8.3422         8.6663        16.8099        52.1865        31.9070        63.5684         0.8655       749.0057
          90.288808          0.9669        -1.9687         8.3517         8.6349        14.4156        57.6981        32.3238        67.7095         0.8420       769.1350
          93.298434          0.9780        -1.8840         8.3384         8.6043        17.6338        60.1220        32.4000        70.5447         0.8595       768.0885
          96.308061          0.9333        -1.8927         8.2714         8.5363        14.3059        58.0288        31.3485        67.6642         0.8595       770.1944
          99.317688          0.8745        -2.0149         8.2837         8.5699        11.6423        57.9158        31.0117        66.8617         0.8364       772.0289
          102.32731          0.8662        -1.7112         8.2443         8.4644        14.3724        54.0864        27.6999        62.4683         0.8128       800.5995
          105.33694          0.7941        -1.7170         8.1676         8.3838        10.5909        53.0364        25.2392        59.7525         0.8536       786.1516
          108.34657          0.6674        -1.7570         8.2644         8.4754         9.3325        55.3301        24.8841        61.4280         0.8771       750.6720
          111.35619          0.6636        -1.8577         8.3622         8.5917         9.8050        48.6640        25.4237        55.8113         0.8711       742.9066
          114.36582          0.7534        -1.8318         8.2481         8.4826         9.2867        47.7768        25.7935        55.1975         0.8887       744.3158
          117.37545          0.9022        -1.9550         8.2965         8.5713         1.2420        47.5433        23.5399        53.3185         0.8887       740.7525
          120.38507          0.8627        -1.9877         8.3104         8.5882        -0.1436        48.5811        21.8660        53.5363         0.8771       750.2653
          123.39470          1.0374        -1.7539         8.4217         8.6647         5.5798        46.0976        26.2143        53.4721         0.8480       766.4125
          126.40433          1.0094        -1.6241         8.6715         8.8798        -0.2925        41.6841        27.8136        50.5319         0.8420       786.8011
          129.41395          1.2587        -1.7456         8.6199         8.8845        -9.7344        43.2795        26.2890        51.6178         0.8595       772.5664
          132.42358          1.2200        -1.5753         8.5454         8.7747       -12.4820        39.3588        23.0583        47.3147         0.8711       759.0443
          135.43321          1.1974        -1.6303         8.5341         8.7705       -13.0467        35.8583        20.0893        43.1238         0.8771       756.8700
          138.44283          1.1569        -1.5843         8.6917         8.9103       -14.0857        35.4418        18.0635        42.2706         0.8711       756.9285
          141.45246          1.2480        -1.6902         8.7397         8.9887       -16.5033        35.7676        14.9956        42.1645         0.8655       775.8682
          144.46209          1.2641        -1.6802         8.6239         8.8765       -15.9940        34.9075        17.1453        42.2739         0.8651       768.3976
          147.47171          1.1832        -1.4807         8.7654         8.9680       -14.7032        29.8233        19.7404        38.8430         0.9063       730.6424
          150.48134          0.9218        -1.7303         8.7991         9.0149       -19.2195        29.2521        18.0354        39.4250         0.8771       751.0997
          153.49097          0.9406        -1.9302         8.8476         9.1044       -21.8062        34.1327        21.0855        45.7700         0.8595       777.1622
          156.50059          0.6974        -1.8371         8.9909         9.2031       -21.7859        33.6706        23.3025        46.4235         0.8711       777.2933
          159.51022          0.7390        -1.7997         9.1776         9.3815       -23.7402        28.3843        18.7131        41.8096         0.8771       756.8967
          162.51985          0.8760        -1.8138         9.2261         9.4434       -31.4906        25.1263        19.2302        44.6842         0.8827       758.5289
          165.52947          1.0665        -1.8628         9.2007         9.4478       -32.8769        22.4674        17.6331        43.5605         0.9063       728.8262
          168.53910          1.1042        -1.3829         9.2814         9.4486       -34.8136        20.2124        18.7910        44.5054         0.8887       749.8347
          171.54873          1.0516        -1.3055         9.3357         9.4850       -39.5870        17.9361        19.0562        47.6200         0.9003       760.1564
          174.55835          1.0652        -1.4882         9.2869         9.4655       -42.6845        19.0670        18.1099        50.2656         0.9063       752.7556
          177.56798          0.8817        -1.2105         9.3017         9.4214       -42.6136        18.5608        22.5833        51.8441         0.8771       794.0731
          180.57761          0.4894        -1.2665         9.2793         9.3781       -41.6599        15.5621        22.4767        49.9304         0.8711       803.8243
          183.58723          0.2352        -1.4289         9.2747         9.3871       -37.7092        14.1241        19.7003        45.0750         0.8771       787.8480
          186.59686          0.0465        -1.6612         9.2183         9.3669       -36.1246         7.6766        18.9433        41.5367         0.8711       796.6366
          189.60649          0.0084        -1.6106         9.3116         9.4499       -33.0351         4.3292        18.3175        38.1601         0.8887       777.9230
          192.61611         -0.0392        -1.2654         9.4538         9.5381       -35.3993        -2.5747        16.5630        39.3712         0.8771       776.8353
          195.62574          0.0235        -1.2292         9.4925         9.5717       -42.2481        -9.2804        18.5712        47.0896         0.8595       801.8458
          198.63537          0.2925        -1.0250         9.5553         9.6146       -51.4595       -16.4547        16.3637        57.2493         0.8595       801.6994
          201.64500          0.2980        -1.0818         9.4349         9.5014       -57.0787       -18.4893        11.0770        61.5100         0.8595       810.9045
          204.65462          0.2936        -1.2509         9.3676         9.4553       -60.8526       -10.0693        14.4800        63.4925         0.8595       818.5286
          207.66425          0.3499        -1.5627         9.1744         9.3131       -67.2635        -4.0805        14.7017        69.2749         0.8480       836.5469
          210.67388         -0.0150        -1.7695         9.1177         9.2878       -73.5529         1.8668        21.3146        76.6027         0.8420       855.7084
          213.68350         -0.1383        -1.7527         9.0824         9.2510       -67.6589         0.0118        19.3632        70.4332         0.8711       833.8089
          216.69313         -0.4013        -1.5002         8.9588         9.0924       -62.6430        -8.6699        16.0028        65.5674         0.8771       810.6419
          219.70276         -0.6340        -0.8323         8.7928         8.8548       -59.5123       -19.1018        14.4445        64.3139         0.8711       815.0378
          222.71238         -0.9088        -0.2609         8.6104         8.6622       -52.8921       -23.8610        19.4574        61.4331         0.9003       782.9570
          225.72201         -0.9207         0.2948         8.5454         8.5999       -50.8787       -33.6056        26.7403        67.1590         0.9063       818.6113
          228.73164         -1.0041         0.1372         8.7415         8.8000       -52.6294       -41.9228        28.8376        73.4623         0.9003       834.0239
          231.74126         -0.9025         0.1619         8.9967         9.0433       -58.7670       -41.3366        31.0565        78.3969         0.8947       828.0149
          234.75089         -1.1211         0.8083         9.3885         9.4896       -60.2060       -53.2488        30.6928        86.1888         0.8943       822.3343
          237.76052         -1.1040         0.6864         9.6995         9.7863       -60.4269       -54.1596        29.7406        86.6726         0.9238       799.6636
          240.77014         -1.0271         0.5138         9.6506         9.7187       -62.5712       -45.3587        32.9213        84.0316         0.9118       793.7223
          243.77977         -0.9061         0.7386         9.6687         9.7391       -58.9373       -47.8884        33.5812        83.2982         0.9470       768.3394
          246.78940         -1.1952         0.8401         9.4750         9.5869       -60.0443       -59.0048        37.5453        92.2279         0.9238       773.9959
          249.79902         -1.0548         0.7783         9.2355         9.3281       -59.9886       -60.1328        40.8008        94.2508         0.9003       794.9284
          252.80865         -1.3498         0.8113         8.8110         8.9507       -54.0507       -60.1032        41.4222        91.0094         0.9063       803.3972
          255.81828         -1.4749         1.3715         8.5980         8.8307       -47.9342       -60.2284        48.4105        90.9754         0.9003       796.6842
          258.82790         -1.8161         1.3362         8.4226         8.7192       -45.6957       -59.8418        50.3993        90.6072         0.9178       803.7388
          261.83753         -1.9389         1.3854         8.2967         8.6321       -46.9130       -62.0014        48.0160        91.4343         0.9178       816.0105
          264.84716         -1.8751         1.4749         8.0296         8.3765       -46.5291       -63.4787        46.4929        91.4509         0.9178       809.6203
          267.85678         -2.2542         1.8147         7.7448         8.2678       -48.2447       -58.6100        48.6415        90.4153         0.9178       805.4179
          270.86641         -2.2858         1.4900         7.2613         7.7571       -50.6278       -55.2378        48.8119        89.5897         0.9178       791.4058
          273.87604         -2.6268         1.6914         7.3444         7.9813       -46.4695       -55.1936        50.4762        88.1939         0.8947       795.6881
          276.88566         -3.2252         1.8505         7.3086         8.2001       -41.7118       -53.2430        52.4564        86.1548         0.8827       806.7181
          279.89529         -3.6998         2.4375         7.3212         8.5574       -32.4821       -58.7270        49.4528        83.4799         0.9178       776.3979
