Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2008-04-15/06:00:00         -1.4510        -0.8486         7.1349         7.3302        53.4598        -6.0018        15.2925        55.9270         0.8887       738.7169
2008-04-15/06:00:03         -1.4243        -0.8594         7.2468         7.4353        50.6968        -0.6760         9.1805        51.5258         0.8595       789.7663
2008-04-15/06:00:06         -1.1373        -0.9126         7.3178         7.4616        54.4799         0.3199        10.2940        55.4448         0.9178       736.6662
2008-04-15/06:00:09         -1.0793        -1.2612         7.2251         7.4133        48.0229        -0.9458        10.6715        49.2034         0.8595       785.6727
2008-04-15/06:00:12         -1.0414        -1.1420         7.2527         7.4156        58.0856        -0.1785         8.3964        58.6896         0.8304       804.6220
2008-04-15/06:00:15         -0.9431        -1.2633         7.2794         7.4482        60.7040        -1.1302         8.8442        61.3553         0.8304       798.1603
2008-04-15/06:00:18         -0.8842        -1.3082         7.3194         7.4877        58.1575        11.7418         5.8158        59.6154         0.8595       791.1244
2008-04-15/06:00:21         -0.7689        -1.3651         7.2165         7.3846        62.9585         9.5335         8.6079        64.2554         0.9178       752.5425
2008-04-15/06:00:24         -0.8830        -1.3038         7.2550         7.4239        64.4833        17.7734        13.1728        68.1726         0.9178       726.7899
2008-04-15/06:00:27         -0.5335        -1.6526         7.2850         7.4891        74.4256        18.6804        12.6951        77.7772         0.8595       782.3151
2008-04-15/06:00:30         -0.1361        -1.7993         7.3155         7.5348        70.8475        11.9644         6.5571        72.1492         0.8595       764.2307
2008-04-15/06:00:33          0.2428        -1.8131         7.4247         7.6467        75.7637        21.2181         9.5753        79.2592         0.8887       771.8263
2008-04-15/06:00:36          0.4207        -1.7111         7.5390         7.7422        72.2055        23.7858         6.7822        76.3243         0.8887       734.9724
2008-04-15/06:00:39          0.6377        -1.9161         7.6487         7.9108        78.5423        24.0173         8.4237        82.5633         0.8595       770.5411
2008-04-15/06:00:42          1.0600        -1.9247         7.8894         8.1897        77.8795        26.6505         8.2468        82.7254         0.8595       752.4733
2008-04-15/06:00:45          1.3316        -2.1896         8.0323         8.4312        81.4518        33.2984        11.0366        88.6848         0.8595       751.5491
2008-04-15/06:00:48          1.6368        -2.5463         8.1550         8.6986        74.6592        39.6956        20.2243        86.9411         0.8887       737.8716
2008-04-15/06:00:51          1.7667        -2.9255         8.1748         8.8604        66.9701        45.4195        20.3508        83.4391         0.8887       723.0425
2008-04-15/06:00:54          1.8205        -2.6566         8.1271         8.7420        59.4593        50.3311        14.8237        79.2992         0.8887       746.2973
2008-04-15/06:00:57          1.5120        -2.7333         8.0485         8.6334        47.0857        50.8667        20.3310        72.2346         0.8595       749.7853
2008-04-15/06:01:00          1.4820        -2.4294         7.8652         8.3642        45.7096        48.0203        20.4673        69.3846         0.9470       706.0014
2008-04-15/06:01:03          1.1191        -2.6038         8.0356         8.5208        55.5608        46.9526        24.4855        76.7535         0.9178       722.0985
2008-04-15/06:01:06          1.1858        -2.6898         8.0819         8.5998        44.0160        45.4869        24.6493        67.9268         0.8887       770.6186
2008-04-15/06:01:09          0.9535        -2.5060         8.0823         8.5155        39.6637        49.6769        20.7358        66.8653         0.8595       758.8268
2008-04-15/06:01:12          0.9671        -2.1984         8.1359         8.4830        45.0657        51.0449        26.2313        72.9697         0.8887       720.5794
2008-04-15/06:01:15          0.7532        -2.4305         8.1211         8.5104        34.8558        47.0584        23.8779        63.2422         0.8595       748.8516
2008-04-15/06:01:18          0.9965        -2.4220         8.1986         8.6067        32.2645        50.1371        28.7636        66.1972         0.8887       724.8914
2008-04-15/06:01:21          0.8953        -2.1662         8.3557         8.6782        27.3026        58.7087        26.4359        69.9357         0.8304       766.8443
2008-04-15/06:01:24          0.8933        -2.0052         8.4463         8.7269        27.5596        56.6768        31.1733        70.3105         0.8595       751.4386
2008-04-15/06:01:27          0.9107        -2.1639         8.3422         8.6663        19.6147        50.2311        32.1449        62.7789         0.8887       731.7513
2008-04-15/06:01:30          0.9669        -1.9687         8.3517         8.6349        12.5537        55.1538        31.5460        64.7664         0.8304       775.1890
2008-04-15/06:01:33          0.9780        -1.8840         8.3384         8.6043        17.2410        61.5591        33.5042        72.1755         0.8595       759.9483
2008-04-15/06:01:36          0.9333        -1.8927         8.2714         8.5363        18.2299        57.9413        30.7244        68.0699         0.8595       780.4410
2008-04-15/06:01:39          0.8745        -2.0149         8.2837         8.5699         8.3513        58.1615        32.2954        67.0485         0.8595       754.6454
2008-04-15/06:01:42          0.8662        -1.7112         8.2443         8.4644        16.6363        57.5429        29.0636        66.5781         0.8013       798.4078
2008-04-15/06:01:45          0.7941        -1.7170         8.1676         8.3838        10.9371        48.8412        25.6305        56.2317         0.8304       803.9253
2008-04-15/06:01:48          0.6674        -1.7570         8.2644         8.4754        10.0656        59.4026        24.6454        65.0952         0.8887       759.1806
2008-04-15/06:01:51          0.6636        -1.8577         8.3622         8.5917         8.2199        49.1501        25.2464        55.8630         0.8595       737.7605
2008-04-15/06:01:54          0.7534        -1.8318         8.2481         8.4826        12.2104        47.9263        25.6927        55.7328         0.8887       750.7158
2008-04-15/06:01:57          0.9022        -1.9550         8.2965         8.5713         4.8501        47.5500        25.9464        54.3851         0.8887       734.6040
2008-04-15/06:02:00          0.8627        -1.9877         8.3104         8.5882        -4.2333        47.5332        19.8882        51.6998         0.8887       750.0826
2008-04-15/06:02:03          1.0374        -1.7539         8.4217         8.6647         6.0624        50.1713        24.8674        56.3231         0.8595       750.5425
2008-04-15/06:02:06          1.0094        -1.6241         8.6715         8.8798         4.8475        39.9158        28.2583        49.1457         0.8304       790.4950
2008-04-15/06:02:09          1.2587        -1.7456         8.6199         8.8845        -8.0922        44.3675        27.1388        52.6353         0.8595       781.1957
2008-04-15/06:02:12          1.2200        -1.5753         8.5454         8.7747       -12.2264        41.6286        24.9993        50.0739         0.8595       759.4715
2008-04-15/06:02:15          1.1974        -1.6303         8.5341         8.7705       -12.8697        35.9144        20.1130        43.1278         0.8887       758.3959
2008-04-15/06:02:18          1.1569        -1.5843         8.6917         8.9103       -13.3152        35.7731        20.0534        43.1178         0.8595       754.5544
2008-04-15/06:02:21          1.2480        -1.6902         8.7397         8.9887       -15.2549        34.9392        15.0438        40.9851         0.8887       760.5311
2008-04-15/06:02:24          1.2641        -1.6802         8.6239         8.8765       -18.3977        37.0246        14.9225        43.9543         0.8304       799.1420
2008-04-15/06:02:27          1.1832        -1.4807         8.7654         8.9680       -12.3463        31.6948        20.5183        39.7240         0.9178       721.7435
2008-04-15/06:02:30          0.9218        -1.7303         8.7991         9.0149       -18.2797        26.9833        18.5599        37.5062         0.8887       744.1464
2008-04-15/06:02:33          0.9406        -1.9302         8.8476         9.1044       -20.6456        32.6949        17.2394        42.3367         0.8595       761.6510
2008-04-15/06:02:36          0.6974        -1.8371         8.9909         9.2031       -23.5675        36.3145        26.9220        50.9800         0.8595       800.7001
2008-04-15/06:02:39          0.7390        -1.7997         9.1776         9.3815       -19.0824        29.6585        17.8100        39.5090         0.8887       741.7737
2008-04-15/06:02:42          0.8760        -1.8138         9.2261         9.4434       -30.8084        26.4507        20.0834        45.3006         0.8595       779.8456
2008-04-15/06:02:45          1.0665        -1.8628         9.2007         9.4478       -32.5257        23.1164        17.9353        43.7489         0.9178       726.1811
2008-04-15/06:02:48          1.1042        -1.3829         9.2814         9.4486       -33.4100        21.4824        17.1744        43.2745         0.8887       732.8401
2008-04-15/06:02:51          1.0516        -1.3055         9.3357         9.4850       -36.9436        18.2852        21.2441        46.3734         0.8887       775.6238
2008-04-15/06:02:54          1.0652        -1.4882         9.2869         9.4655       -43.5982        17.4063        15.7360        49.5117         0.9178       736.6850
2008-04-15/06:02:57          0.8817        -1.2105         9.3017         9.4214       -41.2980        21.5872        21.7122        51.4096         0.8887       777.1425
2008-04-15/06:03:00          0.4894        -1.2665         9.2793         9.3781       -44.6099        13.9682        23.9052        52.5035         0.8595       819.7651
2008-04-15/06:03:03          0.2352        -1.4289         9.2747         9.3871       -37.1833        17.9809        20.3089        46.0257         0.8887       779.6344
2008-04-15/06:03:06          0.0465        -1.6612         9.2183         9.3669       -38.5073         8.2714        18.7767        43.6324         0.8595       800.3121
2008-04-15/06:03:09          0.0084        -1.6106         9.3116         9.4499       -32.5089         6.7739        19.1962        38.3564         0.8887       791.0591
2008-04-15/06:03:12         -0.0392        -1.2654         9.4538         9.5381       -33.8336         0.6195        16.9841        37.8623         0.8887       757.9892
2008-04-15/06:03:15          0.0235        -1.2292         9.4925         9.5717       -37.7753        -7.4218        15.9241        41.6609         0.8595       805.4340
2008-04-15/06:03:18          0.2925        -1.0250         9.5553         9.6146       -49.0355       -12.1008        22.5881        55.3275         0.8595       796.4007
2008-04-15/06:03:21          0.2980        -1.0818         9.4349         9.5014       -55.1380       -23.0617         6.9181        60.1656         0.8595       809.7401
